	Query strain ID	Array strain ID	P-value	Combined mutant fitness	Combined mutant fitness standard deviation	g1	g2	g3
381092	YKL051W+YDL227C_tm3059	YDR108W_dma909	0.5	0.835	0.0464	YDL227C	YDR108W	YKL051W
279190	YER106W+YDL227C_tm3243	YOR023C_dma4446	0.5	1.0361	0.0701	YDL227C	YER106W	YOR023C
258723	YDR216W+YDL227C_tm3210	YBR087W_tsa887	0.5	0.9108	0.0482	YBR087W	YDL227C	YDR216W
44493	YDL227C+YBL041W_tm2790	YPL003W_dma4768	0.5	0.9196	0.0524	YBL041W	YDL227C	YPL003W
126404	YDL227C+YLR102C_tm2764	YKL051W_dma2779	0.5	0.963	0.0467	YDL227C	YKL051W	YLR102C
401422	YLR119W+YDL227C_tm3057	YOL070C_dma4367	0.5	0.878	0.0514	YDL227C	YLR119W	YOL070C
363512	YJL030W+YDL227C_tm3288	YOR228C_dma4638	0.5	0.9653	0.2204	YDL227C	YJL030W	YOR228C
184207	YDL227C+YOL111C_tm2745	YMR028W_tsa697	0.5	0.8865	0.0322	YDL227C	YMR028W	YOL111C
400514	YLR119W+YDL227C_tm3057	YBL007C_dma91	0.5	0.7342	0.0422	YBL007C	YDL227C	YLR119W
49927	YDL227C+YDL099W_tm2786	YML107C_dma3609	0.5	1.0435	0.0699	YDL099W	YDL227C	YML107C
317887	YGR206W+YDL227C_tm3351	YMR274C_dma3885	0.5	0.9557	0.1251	YDL227C	YGR206W	YMR274C
402482	YLR119W+YDL227C_tm3122	YNL051W_dma3963	0.5	0.8352	0.0642	YDL227C	YLR119W	YNL051W
44995	YDL227C+YBR098W_tm2759	YHL002W_dma2033	0.4999	0.917	0.0689	YBR098W	YDL227C	YHL002W
335296	YHR119W+YDL227C_tm3287	YBR215W_dma370	0.4999	0.789	0.0611	YBR215W	YDL227C	YHR119W
309549	YGR166W+YDL227C_tm3048	YLL038C_dma3057	0.4999	0.9155	0.0352	YDL227C	YGR166W	YLL038C
443204	YMR223W+YDL227C_tm3282	YHR142W_dma2174	0.4999	0.8208	0.0431	YDL227C	YHR142W	YMR223W
96205	YDL227C+YIL065C_tm2834	YNL041C_dma3970	0.4999	0.9142	0.0681	YDL227C	YIL065C	YNL041C
116945	YDL227C+YKL207W_tm2735	YDR363W_dma1100	0.4999	0.8594	0.0439	YDL227C	YDR363W	YKL207W
163278	YDL227C+YMR289W_tm2876	YHR191C_tsa323	0.4999	0.8705	0.0461	YDL227C	YHR191C	YMR289W
58095	YDL227C+YDR279W_tm2818	YDL099W_dma691	0.4999	1.0252	0.0482	YDL099W	YDL227C	YDR279W
