	imp	occ	class1	rel1	class2	rel2	individual_imp
1210	0.0009546802823906	1	http://purl.obolibrary.org/obo/CHEBI_25213	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_17634	rev_hasChemStressResistance	0.0009546802823906
1690	0.0007511236214224	1	http://purl.obolibrary.org/obo/CHEBI_22633	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_25213	rev_hasChemStressResistance	0.0007511236214224
2255	0.0006256904506255	1	http://purl.obolibrary.org/obo/CHEBI_60888	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_25213	rev_hasChemStressResistance	0.0006256904506255
4170	0.0004059134764232	1	http://purl.obolibrary.org/obo/GO_0036010	rev_RO_0002331	http://purl.obolibrary.org/obo/CHEBI_25255	rev_hasChemStressResistance	0.0004059134764232
4191	0.0004045771227772	1	http://purl.obolibrary.org/obo/CHEBI_18212	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_22907	rev_hasChemStressResistance_Increased	0.0004045771227772
4222	0.0004018563256503	1	http://purl.obolibrary.org/obo/CHEBI_50825	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_78038	rev_hasChemStressResistance	0.0004018563256503
4279	0.0003982493381441	1	http://purl.obolibrary.org/obo/CHEBI_172376	rev_hasChemStressResistance	http://sgd-kg.project-genesis.io#APO_0000221-APO_0000002	rev_RO_0002200	0.0003982493381441
4428	0.0003874045479746	1	http://purl.obolibrary.org/obo/CHEBI_83158	rev_hasChemStressResistance_Increased	http://sgd-kg.project-genesis.io#APO_0000199-APO_0000003	rev_RO_0002200	0.0003874045479746
4452	0.0003858944711655	1	http://purl.obolibrary.org/obo/CHEBI_30653	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_35456	rev_hasChemStressResistance	0.0003858944711655
4697	0.000369869017667	1	http://purl.obolibrary.org/obo/CHEBI_32588	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_48958	rev_hasChemStressResistance_Increased	0.000369869017667
4832	0.0003614779254564	1	http://purl.obolibrary.org/obo/CHEBI_32915	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_17634	rev_hasChemStressResistance	0.0003614779254564
4882	0.0003587583531498	1	http://purl.obolibrary.org/obo/CHEBI_30653	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_37947	rev_hasChemStressResistance	0.0003587583531498
4936	0.000355962600217	1	http://purl.obolibrary.org/obo/CHEBI_32588	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_22633	rev_hasChemStressResistance	0.000355962600217
4959	0.0003547551874217	1	http://purl.obolibrary.org/obo/CHEBI_22907	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_28694	rev_hasChemStressResistance	0.0003547551874217
4997	0.0003524629570269	1	http://purl.obolibrary.org/obo/CHEBI_8430	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_28748	rev_hasChemStressResistance	0.0003524629570269
5011	0.0003519394930716	1	http://sgd-kg.project-genesis.io#APO_0000085-APO_0000004	rev_RO_0002200	http://sgd-kg.project-genesis.io#APO_0000053-APO_0000002	rev_RO_0002200	0.0003519394930716
5394	0.0003332398978396	1	http://purl.obolibrary.org/obo/CHEBI_6198	rev_hasChemStressResistance_Increased	http://sgd-kg.project-genesis.io#APO_0000053-APO_0000002	rev_RO_0002200	0.0003332398978396
5558	0.0003260422235068	1	http://purl.obolibrary.org/obo/CHEBI_22633	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_88298	rev_hasChemStressResistance	0.0003260422235068
5630	0.0003229094657838	1	http://purl.obolibrary.org/obo/CHEBI_30653	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_609827	rev_hasChemStressResistance_Increased	0.0003229094657838
5698	0.0003201202402642	1	http://purl.obolibrary.org/obo/CHEBI_25213	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_22907	rev_hasChemStressResistance_Increased	0.0003201202402642
5943	0.000309667732418	1	http://purl.obolibrary.org/obo/CHEBI_29866	rev_hasChemStressResistance	http://sgd-kg.project-genesis.io#APO_0000199-APO_0000002	rev_RO_0002200	0.000309667732418
6052	0.0003054662437355	1	http://purl.obolibrary.org/obo/CHEBI_57248	rev_hasChemStressResistance	http://sgd-kg.project-genesis.io#APO_0000085-APO_0000004	rev_RO_0002200	0.0003054662437355
6322	0.0002961971795285	1	http://purl.obolibrary.org/obo/CHEBI_35696	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_78067	rev_hasChemStressResistance	0.0002961971795285
6360	0.0002947931240074	1	http://purl.obolibrary.org/obo/CHEBI_8711	rev_hasChemStressResistance	http://sgd-kg.project-genesis.io#APO_0000027-APO_0000004	rev_RO_0002200	0.0002947931240074
6422	0.0002929994633959	1	http://purl.obolibrary.org/obo/CHEBI_17234	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_83158	rev_hasChemStressResistance_Increased	0.0002929994633959
6518	0.0002897453915816	1	http://purl.obolibrary.org/obo/CHEBI_17234	rev_hasChemStressResistance	http://sgd-kg.project-genesis.io#APO_0000132-APO_0000002	rev_RO_0002200	0.0002897453915816
6646	0.0002857351864003	1	http://purl.obolibrary.org/obo/CHEBI_50145	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_28694	rev_hasChemStressResistance	0.0002857351864003
6760	0.0002818754020107	1	http://purl.obolibrary.org/obo/CHEBI_50825	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_29105	rev_hasChemStressResistance	0.0002818754020107
6784	0.0002808750857564	1	http://purl.obolibrary.org/obo/CHEBI_57248	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_6198	rev_hasChemStressResistance_Increased	0.0002808750857564
6831	0.0002793725246036	1	http://purl.obolibrary.org/obo/CHEBI_88298	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_83158	rev_hasChemStressResistance_Increased	0.0002793725246036
6958	0.000275345357924	1	http://purl.obolibrary.org/obo/CHEBI_57248	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_15379	rev_hasChemStressResistance	0.000275345357924
6959	0.0002753172890039	1	http://purl.obolibrary.org/obo/CHEBI_9448	rev_hasChemStressResistance	http://sgd-kg.project-genesis.io#APO_0000053-APO_0000002	rev_RO_0002200	0.0002753172890039
7013	0.0002736804868737	1	http://purl.obolibrary.org/obo/CHEBI_26873	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_36550	rev_hasChemStressResistance_Increased	0.0002736804868737
7017	0.0002735282962085	1	http://purl.obolibrary.org/obo/GO_0071805	rev_RO_0002331	http://purl.obolibrary.org/obo/CHEBI_114786	rev_hasChemStressResistance	0.0002735282962085
7271	0.0002651949706261	1	http://purl.obolibrary.org/obo/CHEBI_28869	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_48958	rev_hasChemStressResistance_Increased	0.0002651949706261
7289	0.0002646407374366	1	http://purl.obolibrary.org/obo/CHEBI_172376	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_78067	rev_hasChemStressResistance	0.0002646407374366
7321	0.0002636755019057	1	http://purl.obolibrary.org/obo/CHEBI_57248	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_28869	rev_hasChemStressResistance	0.0002636755019057
7381	0.0002618085128672	1	http://purl.obolibrary.org/obo/CHEBI_17924	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_48240	rev_hasChemStressResistance	0.0002618085128672
1596	0.0007851987725111	3	http://purl.obolibrary.org/obo/CHEBI_57248	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_48958	rev_hasChemStressResistance	0.0002617329241703667
7391	0.0002616302865844	1	http://purl.obolibrary.org/obo/CHEBI_2762	rev_hasChemNutrientUtilization_Decreased	http://purl.obolibrary.org/obo/CHEBI_35696	rev_hasChemStressResistance	0.0002616302865844
7527	0.0002578483115671	1	http://purl.obolibrary.org/obo/CHEBI_3312	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_35962	rev_hasChemStressResistance_Decreased	0.0002578483115671
7535	0.0002576495466203	1	http://purl.obolibrary.org/obo/GO_0006878	rev_RO_0002331	http://purl.obolibrary.org/obo/CHEBI_17234	rev_hasChemStressResistance	0.0002576495466203
7594	0.0002555590688287	1	http://purl.obolibrary.org/obo/CHEBI_61148	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_17234	rev_hasChemStressResistance	0.0002555590688287
7633	0.0002548325948118	1	http://purl.obolibrary.org/obo/CHEBI_55517	rev_hasChemStressResistance_Increased	http://purl.obolibrary.org/obo/CHEBI_48958	rev_hasChemStressResistance_Increased	0.0002548325948118
7638	0.0002547924540645	1	http://purl.obolibrary.org/obo/CHEBI_53001	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_52549	rev_hasChemStressResistance_Increased	0.0002547924540645
7671	0.0002537220915316	1	http://purl.obolibrary.org/obo/CHEBI_28600	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_29105	rev_hasChemStressResistance_Increased	0.0002537220915316
7747	0.0002517025438193	1	http://purl.obolibrary.org/obo/CHEBI_28869	rev_hasChemStressResistance	http://sgd-kg.project-genesis.io#APO_0000053-APO_0000002	rev_RO_0002200	0.0002517025438193
7932	0.0002468852999568	1	http://purl.obolibrary.org/obo/CHEBI_78157	rev_hasChemStressResistance_Increased	http://sgd-kg.project-genesis.io#APO_0000199-APO_0000002	rev_RO_0002200	0.0002468852999568
7977	0.0002458099713024	1	http://purl.obolibrary.org/obo/GO_0010155	rev_RO_0002331	http://purl.obolibrary.org/obo/CHEBI_17883	rev_hasChemStressResistance	0.0002458099713024
7992	0.000245414970979	1	http://purl.obolibrary.org/obo/GO_0030433	rev_RO_0002331	http://purl.obolibrary.org/obo/CHEBI_78067	rev_hasChemStressResistance	0.000245414970979
8056	0.0002437577651585	1	http://purl.obolibrary.org/obo/CHEBI_35696	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_30653	rev_hasChemStressResistance	0.0002437577651585
3259	0.0004820451703987	2	http://purl.obolibrary.org/obo/CHEBI_25213	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_49786	rev_hasChemStressResistance	0.00024102258519935
8186	0.000240439646839	1	http://purl.obolibrary.org/obo/CHEBI_25213	rev_hasChemStressResistance	http://sgd-kg.project-genesis.io#APO_0000095-APO_0000004	rev_RO_0002200	0.000240439646839
8190	0.0002403146398158	1	http://purl.obolibrary.org/obo/CHEBI_16236	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_17071	rev_hasChemStressResistance	0.0002403146398158
8308	0.0002376471599609	1	http://purl.obolibrary.org/obo/GO_0043069	rev_RO_0002331	http://sgd-kg.project-genesis.io#APO_0000316-APO_0000004	rev_RO_0002200	0.0002376471599609
8399	0.0002354964580078	1	http://purl.obolibrary.org/obo/GO_0043069	rev_RO_0002331	http://purl.obolibrary.org/obo/CHEBI_63020	rev_hasChemStressResistance	0.0002354964580078
8409	0.0002352414142239	1	http://purl.obolibrary.org/obo/CHEBI_17234	rev_hasChemStressResistance	http://sgd-kg.project-genesis.io#APO_0000034-APO_0000003	rev_RO_0002200	0.0002352414142239
8440	0.0002346465730513	1	http://purl.obolibrary.org/obo/CHEBI_27732	rev_hasChemStressResistance	http://sgd-kg.project-genesis.io#APO_0000239-APO_0000004	rev_RO_0002200	0.0002346465730513
8475	0.000233635502852	1	http://sgd-kg.project-genesis.io#YHR205W	pos_regulating	http://sgd-kg.project-genesis.io#APO_0000053-APO_0000002	rev_RO_0002200	0.000233635502852
8483	0.000233446069549	1	http://purl.obolibrary.org/obo/CHEBI_17924	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_35962	rev_hasChemStressResistance	0.000233446069549
8532	0.000232366431024	1	http://purl.obolibrary.org/obo/CHEBI_49468	rev_hasChemStressResistance	http://sgd-kg.project-genesis.io#APO_0000028-APO_0000003	rev_RO_0002200	0.000232366431024
8538	0.0002322784363875	1	http://purl.obolibrary.org/obo/CHEBI_156382	rev_hasChemStressResistance	http://sgd-kg.project-genesis.io#APO_0000027-APO_0000004	rev_RO_0002200	0.0002322784363875
8584	0.0002313851649567	1	http://purl.obolibrary.org/obo/CHEBI_28694	rev_hasChemStressResistance	http://sgd-kg.project-genesis.io#APO_0000225-APO_0000004	rev_RO_0002200	0.0002313851649567
8601	0.0002310948288711	1	http://purl.obolibrary.org/obo/CHEBI_25213	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_27585	rev_hasChemStressResistance	0.0002310948288711
8682	0.0002296049108974	1	http://purl.obolibrary.org/obo/GO_0006612	rev_RO_0002331	http://purl.obolibrary.org/obo/CHEBI_27585	rev_hasChemStressResistance	0.0002296049108974
8688	0.0002295009089027	1	http://purl.obolibrary.org/obo/CHEBI_29865	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_30089	rev_hasChemStressResistance_Increased	0.0002295009089027
3522	0.0004571146827934	2	http://purl.obolibrary.org/obo/CHEBI_22907	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_30089	rev_hasChemStressResistance_Increased	0.0002285573413967
8791	0.0002274533651624	1	http://purl.obolibrary.org/obo/CHEBI_26710	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_78157	rev_hasChemStressResistance_Increased	0.0002274533651624
8849	0.0002262845001817	1	http://purl.obolibrary.org/obo/CHEBI_17924	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_17158	rev_hasChemStressResistance_Increased	0.0002262845001817
3599	0.0004506922770786	2	http://purl.obolibrary.org/obo/CHEBI_30653	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_26710	rev_hasChemStressResistance	0.0002253461385393
8955	0.0002244719337341	1	http://sgd-kg.project-genesis.io#APO_0000022-APO_0000004	rev_RO_0002200	http://sgd-kg.project-genesis.io#APO_0000053-APO_0000002	rev_RO_0002200	0.0002244719337341
8978	0.0002240326719276	1	http://purl.obolibrary.org/obo/CHEBI_61148	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_22907	rev_hasChemStressResistance_Increased	0.0002240326719276
8990	0.0002238018149848	1	http://purl.obolibrary.org/obo/CHEBI_17234	rev_hasChemStressResistance	http://sgd-kg.project-genesis.io#APO_0000053-APO_0000002	rev_RO_0002200	0.0002238018149848
8995	0.0002237124700524	1	http://purl.obolibrary.org/obo/CHEBI_61148	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_29699	rev_hasChemStressResistance_Increased	0.0002237124700524
9068	0.0002224614529454	1	http://purl.obolibrary.org/obo/CHEBI_49807	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_55517	rev_hasChemStressResistance_Increased	0.0002224614529454
9099	0.0002218532973656	1	http://sgd-kg.project-genesis.io#APO_0000086-APO_0000003	rev_RO_0002200	http://sgd-kg.project-genesis.io#APO_0000239-APO_0000004	rev_RO_0002200	0.0002218532973656
2075	0.0006609340834715	3	http://purl.obolibrary.org/obo/CHEBI_55517	rev_hasChemStressResistance_Increased	http://sgd-kg.project-genesis.io#APO_0000053-APO_0000002	rev_RO_0002200	0.00022031136115716664
9211	0.0002196039419344	1	http://purl.obolibrary.org/obo/CHEBI_50825	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_49662	rev_hasChemStressResistance	0.0002196039419344
9215	0.0002195777497323	1	http://purl.obolibrary.org/obo/CHEBI_45373	rev_hasChemStressResistance	http://sgd-kg.project-genesis.io#APO_0000109-APO_0000003	rev_RO_0002200	0.0002195777497323
3742	0.0004380033361661	2	http://purl.obolibrary.org/obo/CHEBI_17234	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_17234	rev_hasChemStressResistance	0.00021900166808305
3752	0.0004368780074552	2	http://purl.obolibrary.org/obo/CHEBI_22907	rev_hasChemStressResistance	http://sgd-kg.project-genesis.io#APO_0000086-APO_0000004	rev_RO_0002200	0.0002184390037276
9352	0.0002170714981194	1	http://purl.obolibrary.org/obo/CHEBI_17234	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_3392	rev_hasChemStressResistance_Increased	0.0002170714981194
9376	0.0002165872203629	1	http://purl.obolibrary.org/obo/CHEBI_16236	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_48607	rev_hasChemStressResistance	0.0002165872203629
3857	0.0004291957323317	2	http://purl.obolibrary.org/obo/CHEBI_22907	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_36264	rev_hasChemStressResistance	0.00021459786616585
9538	0.0002135238334931	1	http://purl.obolibrary.org/obo/GO_0043069	rev_RO_0002331	http://purl.obolibrary.org/obo/GO_0030433	rev_RO_0002331	0.0002135238334931
9567	0.0002129981230981	1	http://purl.obolibrary.org/obo/CHEBI_16842	rev_hasChemStressResistance	http://sgd-kg.project-genesis.io#APO_0000037-APO_0000004	rev_RO_0002200	0.0002129981230981
9577	0.0002128143919778	1	http://purl.obolibrary.org/obo/CHEBI_60831	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_30653	rev_hasChemStressResistance	0.0002128143919778
9614	0.0002122457488717	1	http://purl.obolibrary.org/obo/CHEBI_30653	rev_hasChemStressResistance	http://sgd-kg.project-genesis.io#APO_0000027-APO_0000004	rev_RO_0002200	0.0002122457488717
9731	0.0002102836624855	1	http://purl.obolibrary.org/obo/CHEBI_22633	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_61148	rev_hasChemStressResistance	0.0002102836624855
9771	0.0002093814327559	1	http://purl.obolibrary.org/obo/CHEBI_35456	rev_hasChemStressResistance	http://sgd-kg.project-genesis.io#APO_0000118-APO_0000002	rev_RO_0002200	0.0002093814327559
9782	0.0002092716531643	1	http://purl.obolibrary.org/obo/CHEBI_17234	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_30911	rev_hasChemStressResistance_Increased	0.0002092716531643
9784	0.0002092517678746	1	http://purl.obolibrary.org/obo/CHEBI_25213	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_3015	rev_hasChemStressResistance_Increased	0.0002092517678746
9853	0.0002080896717882	1	http://purl.obolibrary.org/obo/CHEBI_77995	rev_hasChemNutrientUtilization_Decreased	http://purl.obolibrary.org/obo/CHEBI_41977	rev_hasChemStressResistance	0.0002080896717882
9928	0.0002068843265147	1	http://purl.obolibrary.org/obo/CHEBI_15379	rev_hasChemStressResistance	http://sgd-kg.project-genesis.io#APO_0000053-APO_0000002	rev_RO_0002200	0.0002068843265147
9939	0.0002067009088894	1	http://sgd-kg.project-genesis.io#YHR205W	pos_regulating	http://purl.obolibrary.org/obo/CHEBI_30477	rev_hasChemStressResistance	0.0002067009088894
10024	0.0002053108223938	1	http://purl.obolibrary.org/obo/CHEBI_55517	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_48958	rev_hasChemStressResistance_Increased	0.0002053108223938
10060	0.0002046026830518	1	http://purl.obolibrary.org/obo/CHEBI_50825	rev_hasChemStressResistance	http://sgd-kg.project-genesis.io#APO_0000144-APO_0000003	rev_RO_0002200	0.0002046026830518
4137	0.0004087372150872	2	http://purl.obolibrary.org/obo/CHEBI_29014	rev_hasChemStressResistance	http://sgd-kg.project-genesis.io#APO_0000199-APO_0000003	rev_RO_0002200	0.0002043686075436
10081	0.0002042804711914	1	http://purl.obolibrary.org/obo/CHEBI_57248	rev_hasChemStressResistance	http://sgd-kg.project-genesis.io#APO_0000225-APO_0000004	rev_RO_0002200	0.0002042804711914
10085	0.0002042187201452	1	http://purl.obolibrary.org/obo/CHEBI_35962	rev_hasChemStressResistance	http://sgd-kg.project-genesis.io#APO_0000199-APO_0000002	rev_RO_0002200	0.0002042187201452
10104	0.0002038335979653	1	http://purl.obolibrary.org/obo/CHEBI_77995	rev_hasChemNutrientUtilization_Decreased	http://purl.obolibrary.org/obo/CHEBI_63609	rev_hasChemStressResistance	0.0002038335979653
10108	0.0002037426287513	1	http://sgd-kg.project-genesis.io#APO_0000027-APO_0000004	rev_RO_0002200	http://sgd-kg.project-genesis.io#APO_0000199-APO_0000003	rev_RO_0002200	0.0002037426287513
4190	0.0004046005599365	2	http://purl.obolibrary.org/obo/CHEBI_15379	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_17234	rev_hasChemStressResistance	0.00020230027996825
10209	0.0002019671778162	1	http://purl.obolibrary.org/obo/CHEBI_57248	rev_hasChemStressResistance	http://sgd-kg.project-genesis.io#APO_0000022-APO_0000004	rev_RO_0002200	0.0002019671778162
10222	0.0002016937198421	1	http://purl.obolibrary.org/obo/GO_0042775	rev_RO_0002331	http://purl.obolibrary.org/obo/CHEBI_84043	rev_hasChemStressResistance	0.0002016937198421
