	imp	occ	class1	rel1	class2	rel2	individual_imp
608	0.0014619890279724	11	http://purl.obolibrary.org/obo/CHEBI_22907	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_29108	rev_hasChemStressResistance	0.00013290809345203636
1871	0.0007094411209025	6	http://purl.obolibrary.org/obo/CHEBI_22907	rev_hasChemStressResistance	http://sgd-kg.project-genesis.io#APO_0000199-APO_0000003	rev_RO_0002200	0.00011824018681708333
1894	0.000704023472643	6	http://purl.obolibrary.org/obo/CHEBI_29034	rev_hasChemStressResistance	http://sgd-kg.project-genesis.io#APO_0000225-APO_0000004	rev_RO_0002200	0.00011733724544049999
567	0.0015240838077104	14	http://purl.obolibrary.org/obo/CHEBI_17234	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_26710	rev_hasChemStressResistance	0.00010886312912217143
1675	0.0007569633533846	7	http://sgd-kg.project-genesis.io#APO_0000028-APO_0000004	rev_RO_0002200	http://sgd-kg.project-genesis.io#APO_0000053-APO_0000002	rev_RO_0002200	0.00010813762191208573
1082	0.0010302730932098	10	http://purl.obolibrary.org/obo/CHEBI_55517	rev_hasChemStressResistance_Increased	http://sgd-kg.project-genesis.io#APO_0000027-APO_0000004	rev_RO_0002200	0.00010302730932098
1873	0.0007091858208699	7	http://purl.obolibrary.org/obo/CHEBI_37947	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_48958	rev_hasChemStressResistance	0.00010131226012427143
2361	0.0006069750492101	6	http://purl.obolibrary.org/obo/CHEBI_172376	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_35696	rev_hasChemStressResistance	0.00010116250820168334
1915	0.00069992882701	7	http://purl.obolibrary.org/obo/CHEBI_50145	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_17234	rev_hasChemStressResistance	9.998983243e-05
1942	0.0006941517981297	7	http://purl.obolibrary.org/obo/APO_0000330	rev_RO_0002200	http://sgd-kg.project-genesis.io#APO_0000199-APO_0000002	rev_RO_0002200	9.916454258995714e-05
1635	0.0007716070500419	8	http://purl.obolibrary.org/obo/CHEBI_22907	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_17234	rev_hasChemStressResistance	9.64508812552375e-05
1198	0.000964125236552	10	http://purl.obolibrary.org/obo/CHEBI_55517	rev_hasChemStressResistance	http://sgd-kg.project-genesis.io#APO_0000027-APO_0000004	rev_RO_0002200	9.64125236552e-05
560	0.0015407713623725	16	http://purl.obolibrary.org/obo/CHEBI_77995	rev_hasChemNutrientUtilization_Decreased	http://purl.obolibrary.org/obo/CHEBI_49470	rev_hasChemStressResistance	9.629821014828126e-05
931	0.0011437919812134	12	http://purl.obolibrary.org/obo/CHEBI_22907	rev_hasChemStressResistance_Increased	http://sgd-kg.project-genesis.io#APO_0000225-APO_0000004	rev_RO_0002200	9.531599843444999e-05
2630	0.0005605213305158	6	http://purl.obolibrary.org/obo/CHEBI_49786	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_37947	rev_hasChemStressResistance	9.342022175263333e-05
2637	0.0005591692905779	6	http://purl.obolibrary.org/obo/CHEBI_17234	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/APO_0000330	rev_RO_0002200	9.319488176298334e-05
1275	0.0009228476427227	10	http://purl.obolibrary.org/obo/CHEBI_16261	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_49786	rev_hasChemStressResistance	9.228476427227e-05
2722	0.0005453876147509	6	http://purl.obolibrary.org/obo/CHEBI_35962	rev_hasChemStressResistance	http://purl.obolibrary.org/obo/CHEBI_17883	rev_hasChemStressResistance	9.089793579181666e-05
1352	0.0008883052859458	10	http://purl.obolibrary.org/obo/CHEBI_77995	rev_hasChemNutrientUtilization_Decreased	http://purl.obolibrary.org/obo/CHEBI_35456	rev_hasChemStressResistance	8.883052859458e-05
917	0.0011542577565603	13	http://purl.obolibrary.org/obo/CHEBI_77995	rev_hasChemNutrientUtilization_Decreased	http://purl.obolibrary.org/obo/CHEBI_22907	rev_hasChemStressResistance	8.878905819694616e-05
2833	0.0005319481801367	6	http://purl.obolibrary.org/obo/CHEBI_29108	rev_hasChemStressResistance	http://sgd-kg.project-genesis.io#APO_0000317-APO_0000003	rev_RO_0002200	8.865803002278334e-05
